alpha,beta
1.5098501759312808,3.088814594911434
1.512244168406246,3.1940816292003014
1.4937163128226247,2.9434432335894805
1.4882131838927253,2.96549114996665
1.468138395813432,2.6623631088620496
1.4663312257559435,2.6747444054578806
1.471525172836602,2.7983217548663863
1.4615622148787077,2.7053012121365545
1.4658970264829525,2.852430329256235
1.46070055968061,2.8159066595532978
1.4521502621311015,2.705821623488365
1.4517701155964908,2.7779742531238583
1.4409718413348631,2.6599914591862146
1.442660251869536,2.722053649059767
1.4473013908284271,2.823677194922995
1.4386007546535229,2.706481259965498
1.4414843239277897,2.7928170804675077
1.4376017193802662,2.737990357900566
1.4446910636413257,2.9492167880273863
1.4410790939330846,2.9461900486245844
1.4450933918069402,3.043698456263659
1.437435316729922,2.93209878814601
1.430956945882593,2.9020859683158675
1.4336256477818636,3.0017202901095907
1.422143087185687,2.8551894758282996
1.427476959627457,3.0059961943698488
1.4225558770126632,2.946370258375795
1.4114892128949277,2.8125459854969774
1.3968992643933513,2.595752983637159
1.3967647777570396,2.68611668129369
1.4003002226968932,2.827560099471791
1.3977374842300438,2.849819633842627
1.3936667338905468,2.8557812311507216
1.3837612369493058,2.7239800540547257
1.3869642481029798,2.840704143786269
1.3934979630415598,3.0134390264116275
1.374356983568508,2.722705580399494
1.3668573517510807,2.6310065824027506
1.3712690275494805,2.771089440681149
1.3629748694045194,2.6836500569732884
1.3581993335580655,2.650680527892866
1.3526808437242304,2.579508289803141
1.3584851104151385,2.7847366839751944
1.3430376842735308,2.542006996710329
1.353091399003674,2.753050465780903
1.3526626013006777,2.8610973913945825
1.3498430889215578,2.9101115472187447
1.350452416893129,2.9922102768528864
1.3436277199902462,2.9386634588453626
1.3384898985289924,2.9786815865391367
1.3354894527697112,2.9809049415887916
1.3250343929750903,2.931904388559977
1.3272708239980708,3.044940863443746
1.3163131702821629,2.9578303983085927
1.3275484255411631,3.2533580384320637
1.3166258436670186,3.094782022829044
1.298405653766277,2.855849740301157
1.2934588198112686,2.900884265186842
1.2976933846193706,3.0085814406659015
1.2892495482629824,2.9357017205024247
1.282023221261007,2.8709513716404444
1.28673278931521,2.9594978093181497
1.28342035660337,2.994482688908484
1.2740217938784544,2.910930302071544
1.2822382916793396,3.1004024544868614
1.2678620433022403,2.9070516934154913
1.2702337577179554,2.9691117316795395
1.272274856438308,3.0199406483924944
1.2647649359643507,2.962621366649115
1.2461067650929485,2.6913421286035963
1.2517215278099756,2.843785934946698
1.246342329701771,2.805528374737965
1.2376590582167033,2.747094368256586
1.2408701071120911,2.8959066580085517
1.2281922992564973,2.694796245045522
1.2275008961809633,2.7251897858169145
1.2329026101312555,2.9069554397587427
1.21769325000814,2.681533935999257
1.2177999133001447,2.7104450535553433
1.223659930967413,2.897444011778733
1.2229495542624225,2.933204834086928
1.2203832329395508,2.944559173717653
1.2178205244639861,2.993984954757225
1.2080502971592344,2.8617682018138098
1.2016134982077809,2.7962215566756505
1.1990712629840181,2.8411713466459885
1.205055659142133,2.982274712543701
